Outils;Quantitée;Site d'achat; Prix unitaire HT ;Prix unitaire TTC;Référence; Coût total HT ; Coût total TTC 
Lousse;1;Emma music; 31,67 € ; 38,00 € ;ALL-LT-4238-000; 31,67 € ; 38,00 € 
Forêts bois;1;Dieter schmid; 114,92 € ; 137,90 € ;304826; 114,92 € ; 137,90 € 
Forêt métal;1;Dieter schmid; 38,25 € ; 45,90 € ;904006; 38,25 € ; 45,90 € 
Forêt 16 mm;1;Dieter schmid; 24,08 € ; 28,90 € ;316135; 24,08 € ; 28,90 € 
Forêt 22 mm;1;Dieter schmid; 27,42 € ; 32,90 € ;316135; 27,42 € ; 32,90 € 
Pince coupante;1;Dieter schmid; 24,50 € ; 29,40 € ;322040; 24,50 € ; 29,40 € 
Marteau à frettes;1;Emma music; 30,00 € ; 36,00 € ;HOS-TL-HMT-L-570030; 30,00 € ; 36,00 € 
Pince extraction frettes;1;Emma music; 43,33 € ; 52,00 € ;SUM-SUM8002; 43,33 € ; 52,00 € 
Outil de Mesure et de Traçage;;;;;; 827,02 € ; 1 185,86 € 
Equerre de précision;2;Dieter schmid; 19,08 € ; 22,90 € ;311092; 38,17 € ; 76,33 € 
Equerre plate;2;Dieter schmid; 10,75 € ; 12,90 € ;310350; 21,50 € ; 43,00 € 
Equerre à épaulement 100 mm;1;Dieter schmid; 34,08 € ; 40,90 € ;311135; 34,08 € ; 34,08 € 
Equerre à épaulement 150 mm;1;Dieter schmid; 49,92 € ; 59,90 € ;311136; 49,92 € ; 49,92 € 
Raporteur de précision;2;Dieter schmid; 20,33 € ; 24,40 € ;310355; 40,67 € ; 81,33 € 
Pied à coullisse;1;Dieter schmid; 45,75 € ; 54,90 € ;410005; 45,75 € ; 45,75 € 
Règle de 1 000 mm;2;Dieter schmid; 36,58 € ; 43,90 € ;310303; 73,17 € ; 146,33 € 
Règle de 600 mm;2;Dieter schmid; 20,75 € ; 24,90 € ;310302; 41,50 € ; 83,00 € 
Règle à radius;1;Emma music; 29,17 € ; 35,00 € ;EY-TL-34017; 29,17 € ; 29,17 € 
Règlet 150 mm;2;Dieter schmid; 4,92 € ; 5,90 € ;310300; 9,83 € ; 19,67 € 
Jauge d'épaisseur (pige);1;Madinter; 225,19 € ; 270,23 € ;5193-M; 225,19 € ; 225,19 € 
Jauge d'épaisseur (languette);1;Dieter schmid; 23,25 € ; 27,90 € ;309643; 23,25 € ; 23,25 € 
Jauge d'action;2;Emma music; 9,58 € ; 11,50 € ;DAD-PW-SHG-01; 19,17 € ; 38,33 € 
Fret rocker;2;Emma music; 14,17 € ; 17,00 € ;BOS-BFR-50; 28,33 € ; 56,67 € 
Trusquin;2;Dieter schmid; 43,25 € ; 51,90 € ;307981; 86,50 € ; 173,00 € 
Accordeur;1;Thomann; 60,83 € ; 73,00 € ;192467; 60,83 € ; 60,83 € 
Outils Electrique;;;;;; 15 784,33 € ; 18 941,20 € 
Dremel;1;Amazon; 51,58 € ; 61,90 € ;B014UXZHGY; 51,58 € ; 61,90 € 
